cluster_nd,n,acc_qwen,acc_internvl,delta,descriptive,explanatory,predictive,counterfactual
0,306,0.2549019607843137,0.32679738562091504,-0.07189542483660133,0.0,0.434640522875817,0.0196078431372549,0.545751633986928
1,337,0.36795252225519287,0.685459940652819,-0.31750741839762614,0.0,0.0,0.8545994065281899,0.14540059347181009
2,395,0.189873417721519,0.33164556962025316,-0.14177215189873416,0.0,0.3392405063291139,0.05569620253164557,0.6050632911392405
3,214,0.2336448598130841,0.35514018691588783,-0.12149532710280372,0.0,0.49065420560747663,0.12149532710280374,0.3878504672897196
4,319,0.22884012539184953,0.34169278996865204,-0.11285266457680251,0.0,0.6394984326018809,0.012539184952978056,0.34796238244514105
5,578,0.2508650519031142,0.3062283737024221,-0.05536332179930792,0.0,0.4740484429065744,0.0,0.5259515570934256
